,Father,Son
p1001,65.92199,69.97204
p1002,67.11129,69.92313
p1003,66.89727,70.46938
p1004,67.94195,69.91923
p1005,67.7274,69.71908
p1006,67.54999,70.61155
p1007,67.96013,70.20868
p1008,68.83038,70.27586
p1009,69.43917,70.18348
p1010,68.55957,70.5115
p1011,69.10638,70.50015
p1012,70.4814,70.24017
p1013,69.92992,70.001
p1014,70.04238,70.21726
p1015,69.56779,70.20554
p1016,71.01077,69.97788
p1017,70.62603,70.36632
p1018,71.46383,70.38931
p1019,71.62112,70.18593
p1020,73.87758,70.23168
p1021,65.00573,70.74197
p1022,66.30354,71.47899
p1023,65.86743,71.41695
p1024,66.86667,71.20207
p1025,67.15958,70.87987
p1026,68.06904,71.26557
p1027,67.57382,71.41653
p1028,67.63354,71.24074
p1029,69.41356,71.15528
p1030,68.87192,71.20588
p1031,69.07779,70.98515
p1032,69.81177,71.35642
p1033,70.01463,71.21331
p1034,69.56649,71.59639
p1035,70.254,71.25854
p1036,70.68296,71.53325
p1037,70.87874,70.92787
p1038,72.45099,71.54787
p1039,73.04359,71.07293
p1040,74.40915,70.86163
p1041,67.40139,72.67319
p1042,66.53122,71.77245
p1043,68.04593,72.64278
p1044,68.82772,72.48159
p1045,69.33069,71.9078
p1046,70.34676,72.18324
p1047,70.173,72.55104
p1048,70.80883,72.33861
p1049,70.7029,72.07098
p1050,72.35959,72.30647
p1051,72.3661,72.05185
p1052,67.17534,72.75204
p1053,67.84045,72.79178
p1054,68.9053,73.50606
p1055,70.3752,73.68578
p1056,71.18523,72.79593
p1057,71.41254,73.41049
p1058,71.70673,73.02077
p1059,72.60072,73.20758
p1060,67.57652,74.49237
p1061,68.55814,73.81263
p1062,70.95019,73.81376
p1063,71.99783,73.82642
p1064,75.17469,73.81739
p1065,73.07157,75.57544
p1066,69.92407,77.23474
p1067,65.54323,60.05859
p1068,72.56261,76.81927
p1069,72.15051,66.72684
p1070,63.22006,58.79456
p1071,73.2645,67.89277
p1072,65.81296,61.04946
p1073,67.70657,59.81693
p1074,66.99681,70.75232
p1075,71.33181,68.26774
p1076,71.78314,69.30589
p1077,70.73837,69.30199
p1078,70.30609,67.015
